,反油酸乙酯,乙酸辛酯,2-甲基-2-苯乙酯丙酸,己酸-2-苯乙酯,异丁醛,己酸,亚油酸乙酯,"2,6-二叔丁基-4-甲基苯酚",植物酮,2-十五烷酮,9-十六碳烯酸乙酯,3-甲基丁酸辛酯,(3Z)-3-癸烯-1-醇乙酸酯,己酸异戊酯,十一醇,庚酸,乙酸正丙酯,乙醛,L(-)-乳酸乙酯,丁酸,丁二酸二乙酯,1-亚甲基-1H-茚,苯丙酸乙酯,辛酸,乙酸2-苯乙酯,3-己烯酸乙酯,对甲酚,己酸糠酯,十五酸乙酯,"2,4-二叔丁基苯酚",糠醛,十六酸乙酯,醋酸,辛酸辛酯,苯乙醛，二乙基乙醛,己醛,S-甲基丁酸酯,辛酸己酯,辛酸丁酯,十四酸乙酯,Group
s7t15,7.072570335,8.474776393,0,7.175362251,6.6822262,8.182327277,7.342619168,7.17059958,6.640117224,6.974769866,7.301100891,7.155016375,0,0,6.760780898,0,6.178840719,0,7.675979227,7.432619228,6.624747871,0,7.753169691,0,6.982716144,0,6.697106904,7.152105961,6.996001316,7.651086807,8.697837926,8.217386897,0,7.690723796,7.44832576,6.766706623,0,8.146803953,7.76461257,7.941515829,15
s1t17,8.07105219,6.987170264,7.441410267,7.778262302,0,8.989260137,8.131142527,7.078773895,7.22131355,7.30935096,7.969724601,0,7.353740131,9.131242153,6.579348427,7.291840251,0,0,7.791395871,7.499289651,0,0,8.101579738,0,7.027225059,0,7.092865743,7.515040976,7.67414193,7.324504916,8.452303463,9.190633306,0,7.615401284,7.658768867,6.587261868,0,8.95133352,8.388422278,8.62378351,17
s2t17,8.423402333,6.909024613,7.306251364,7.711112335,0,8.838376136,8.45444431,7.090077648,7.166441004,7.299532471,8.063826747,0,7.323636846,8.980168109,6.553607554,7.191719343,0,0,7.781244784,6.555705126,0,0,7.920374019,0,6.909739414,0,7.0454835,7.363742364,7.68098864,7.141350269,8.246369858,9.370219415,0,7.539000622,7.6356007,6.687518959,0,8.874855212,8.287602825,8.555456418,17
s3t17,8.184633503,6.466093825,7.398319033,7.775651953,0,8.87616898,8.199768494,7.231867244,7.332037055,7.42003223,7.983279237,0,7.596711339,8.735907323,6.951130177,7.549418227,0,0,7.954608501,0,0,0,8.254665344,0,7.415933457,0,7.062253552,7.428687254,7.66006827,7.04160002,8.911985549,9.246875129,0,7.056423289,7.877052053,6.546980035,0,8.627756202,8.015425222,8.630202408,17
s4t17,7.806429765,7.010207323,7.527396105,8.059874264,0,9.214402388,7.730468956,7.273525456,7.01457057,7.25067196,7.754538129,0,7.098319489,9.262646534,7.110490148,7.881033092,0,0,7.572512956,7.515928156,0,0,8.102029368,0,7.40809812,0,7.46595114,7.653348954,7.498003476,8.705389016,7.782362268,8.720363299,0,7.282930195,7.655927853,7.315545149,0,9.279885487,8.642416152,8.247489119,17
s5t17,7.560891682,6.607410832,7.213179099,7.558064734,0,8.406902642,7.747692657,7.329718935,6.989024486,7.139991395,7.721462878,0,7.053350787,8.520745693,7.466969544,7.517303292,0,0,7.699916756,0,0,0,7.84822361,0,7.148717119,0,6.9183848,7.456141232,7.491896871,8.81456021,7.971764997,8.599261913,0,0,7.807221137,6.885288736,0,8.430359602,7.75380374,8.146147241,17
s6t17,7.657069303,6.981415318,7.145898217,7.626015124,0,8.412161762,7.726153511,7.15787701,6.957964028,7.158307268,7.500449559,0,7.191805163,8.833385026,7.425779787,7.517303292,0,0,7.730239626,0,0,0,7.923471211,0,7.221700981,0,7.003608783,7.486780108,7.518458476,8.580207262,8.15342926,8.664623133,0,0,7.830494803,6.885288736,0,8.537458572,7.999986063,8.234563969,17
s7t17,7.571255745,6.773231614,7.316058137,7.614933999,0,9.021801673,7.720725439,7.296958252,7.172044492,7.322973616,7.748977013,0,7.399718656,8.792491379,7.570263669,7.253763713,0,0,7.899996278,0,0,0,8.158104844,0,7.321380798,0,7.270181142,7.368614568,7.604976795,8.802529705,8.719304345,8.587191412,0,0,7.915161479,6.736748045,0,8.307590125,7.717314287,8.232246677,17
s1t21,7.870673966,0,0,7.634284007,0,8.784291834,7.99957042,0,7.092411173,7.14428909,7.695247572,0,0,9.062468428,7.08101162,7.17315504,0,0,7.70917835,7.851768928,0,6.877081398,7.987424374,0,0,6.764256723,6.925563204,0,7.524935187,7.400495333,8.353801862,9.115502398,7.795323355,7.468878988,7.362942424,6.578864096,0,8.801110648,8.178553842,8.493287909,21
s2t21,7.886335709,0,0,7.586917852,0,8.577525593,7.922170516,0,7.001431055,7.121623412,7.74724703,0,0,8.962618206,6.868140619,0,0,0,7.694302132,7.497770006,0,6.764295028,7.878478271,0,0,6.92741869,6.822720046,0,7.461361176,7.233824906,8.286256269,9.076057311,7.007736584,7.476661682,7.352628991,6.765302431,0,8.80867956,8.158867556,8.42857503,21
